Title,Author,First Publish Year,Subjects
I never promised you a rose garden,Joanne Greenberg,1964,"Mental illness in fiction, Mentally ill, Psychotherapist and patient in fiction, Psychotherapist and patient, Juvenile fiction, Fiction, Mental illness, Mental illness in literature, Teenage girls in fiction, Mentally ill in fiction, Teenage girls, Adolescence, fiction, Girls, fiction, Mental illness, fiction, Children's fiction, Mentally ill, fiction"
The Light of Day,Eric Ambler,1962,"Jewel thieves, Criminals, Fiction in English, Detective and mystery stories, Fiction, Fiction, thrillers, espionage, Fiction, thrillers, suspense, Criminals, fiction, Greece, fiction, Turkey, fiction, Fiction, general, Espionage, Fiction, suspense, Thriller, Arthur Abdel Simpson (Fictitious character), Edgar Award"
Diary of an 8-Bit Warrior : Forging Destiny,Cube Cube Kid,2019,"Children's fiction, Adventure and adventurers, fiction"
Kings of the wyld,Nicholas Eames,2017,"Mercenary troops, Fiction, Fiction, fantasy, epic"
The silence of the girls,Pat Barker,2018,"Trojan War, Fiction, New York Times reviewed, Fiction, war & military, Fiction, historical, Fiction, historical, general"
The magic of ordinary days,Ann Howard Creel,2002,"Married women, Japanese Americans, World War, 1939-1945, Female friendship, Evacuation and relocation, 1942-1945, Fiction, World war, 1939-1945, fiction, Colorado, fiction, Japanese americans, fiction, Friendship, fiction, Married people, fiction, Fiction, psychological, Fiction, historical, Fiction, historical, general"
The fortunes of Nigel,Sir Walter Scott,1800,"Fiction, History, Scots, Fore-edge painting, English fiction, Specimens, Fiction, historical, Great britain, fiction, Fiction, historical, general, British and irish fiction (fictional works by one author), Histoire, Romans, nouvelles"
The Baby-Sitter III,R. L. Stine,1993,"Horror tales, Babysitting in fiction, Babysitting, Fiction, Children's fiction, Horror stories"
The Friend Zone,Abby Jimenez,2019,"American literature, Man-woman relationships, fiction, Fiction, romance, erotica, Fiction, humorous"
The Edwardians,Vita Sackville-West,1930,"Fiction, History, Manners and customs, Upper class, Coronations, Social life and customs, Families, England, fiction, Fiction, general, British and irish fiction (fictional works by one author), Fiction, historical, Great britain, fiction, Fiction, historical, general"
A Damsel in Distress,P. G. Wodehouse,1900,"Blandings Castle (England : Imaginary place), Classic Literature, Fiction, Fiction in English, Nobility, Fiction, humorous, general, Butlers, Fiction, humorous, Humorous stories, Nobility -- Fiction, Nobility -- England -- Fiction"
The watchers,A. E. W. Mason,1899,"Fiction, general"
The Iron King,Julie Kagawa,2010,"Fiction, Young Adult, Young Adult Fiction, Children's fiction, Princesses, fiction, Love, fiction, Princes, fiction, Adventure and adventurers, fiction, Kings and rulers, Kidnapping, Magic, Teenage girls, Juvenile fiction, Fairies, Fathers and daughters, Changelings, Princesses, Rescues, Princes, Fiction, romance, general, Kings"
Never Never,"Colleen Hoover, Tarryn Fisher",2015,"Fiction, romance, contemporary, Fiction, Romance, Contemporary, Life change events, High school students, Juvenile fiction, Amnesia, Fiction"
The virgin secretary's impossible boss,Carole Mortimer,2009,"Virginity, Fiction, Romance, Passion, Billionaires, Secretaries, Fiction, romance, general, Man-woman relationships, fiction, Fiction, romance, contemporary"
An Acceptable Time (Time Quintet #5 / O'Keefe Family #4),Madeleine L'Engle,1989,"Druids and Druidism, Fiction, Space and time, Time travel, Love, Juvenile fiction, Fantastic fiction, Science fiction, Romance fiction, Male college students, Teenage girls, Prehistoric peoples, Sick, Love stories, Children's fiction, Space and time, fiction, Time travel, fiction, Druids and druidism, fiction, Fantasy fiction, Fantasy"
The talisman,"Stephen King, Peter Straub",1925,"Fantastique, Romans, Talismans, Mothers and sons, Fiction, Quests (Expeditions), Boys, Fantasy, Horror, Fantasy fiction, Fictional Works, Protected DAISY, Accessible book, Fiction, horror, Mothers and sons, fiction, Fiction, fantasy, general, Horror - General, Fiction - Horror, Fiction / Horror"
How few remain,Harry Turtledove,1997,"Fiction, Imaginary wars and battles in fiction, Imaginary wars and battles, United States in fiction, History, Science Fiction, Fiction, fantasy, historical"
Bad Hare Day,Robert Lawrence Stine,1996,"Fiction, Horror tales, Juvenile fiction, Magicians, Horror stories, Magicians -- Fiction., Horror stories., Magicians -- Juvenile fiction., Horror tales., collectionID:goosebumps1, Magicians, fiction, Children's fiction, series:Goosebumps"
The secret birthday message,Eric Carle,1971,"Toy and movable books, Juvenile fiction, Birthdays, Fiction, Specimens, Children's fiction, Birthdays, fiction, Children's stories, Children: Babies Toddlers, Picture books, China, fiction, Fiction, general, Juvenile literature"
Les femmes savantes,Molière,1900,"French language, Classic Literature, Fiction, Théâtre (Genre littéraire), Comédie française, Continental european drama (dramatic works by one author), Critique et interprétation, Théâtre français, Étude et enseignement"
When I Was Young in the Mountains,Cynthia Rylant,1887,"Juvenile fiction, Social life and customs, Mountain life, Fiction, United States in fiction, Caldecott Medal, Mountain life in fiction, Children's fiction, Children, fiction, collectionID:caldecotthonor80, Mountaineering, fiction, award:Caldecott_award"
The Secret Diaries of Miss Miranda Cheever,Julia Quinn,2007,"Fiction, Romance, Historical, Regency, Man-woman relationships, fiction, England, fiction, American literature"
Dark Summer Dawn,Sara Craven,1981,"Fiction, Romance, Contemporary, Models (Persons), Fiction, Mannequins (Personnes), Romans, nouvelles, Fiction, general"
The Berenstain Bears,"Stan Berenstain, Jan Berenstain",1975,"Bears, Stories in rhyme, Fiction, Children's stories, Juvenile fiction, Bears, fiction, Mystery and detective stories, Children's fiction"
The Sleuth of St. James's Square,Melville Davisson Post,1920,"English Detective and mystery stories, Classic Literature, Fiction, Virginia, fiction, Fiction, mystery & detective, collections & anthologies, Fiction, action & adventure, Fiction, short stories (single author), Fiction, mystery & detective, general"
The Immortal Highlander,Karen Marie Moning,2004,"Romance, Immortalism in fiction, Fairies in fiction, Fairies, Americans in fiction, Fiction, Immortalism, Americans, Historical fiction, Time travel in fiction, Time travel, Love stories, Large type books"
Goosebumps Hall of Horrors - Claws!,R. L. Stine,2011,"Cats, Theft, Stealing, Horror stories, Juvenile fiction, Fiction, Horror, goosebumps, Children's fiction, Cats, fiction, Monsters, fiction, Pets, fiction, Amusement parks, fiction, Pet sitting, Pets, Amusement parks, Monsters, collectionID:goosebumps8, series:Goosebumps"
Airs Above the Ground,Mary Stewart,1965,"Mystery & Detective - General, Fiction, suspense, Fiction, thrillers, suspense, Fiction, Missing persons, Lipizzaner horse, Horses, Spanische Reitschule (Vienna, Austria), Circus, Fiction, romance, suspense, Fiction, thrillers, Vienna (austria), fiction, Fiction, thrillers, general, Spanish Riding School (Vienna, Austria), Fiction, gothic"
The Secret Pearl,Mary Balogh,1991,"Fiction, Romance, Historical, Prostitutes, fiction"", Fugitives from justice, fiction, Governesses, fiction, Nobility, fiction, Large type books, Husbands, fiction, Social classes, fiction, Social life and customs, fiction, Niños, Prostitutas, Reading materials, Spanish language, Fiction, Fugitivos de la justicia, Novela, Governesses, Fugitives from justice"
Prisons we choose to live inside,"Doris Lessing, Philippe Giraudon",1986,"Collective behavior, Individuality, Mass media, Social aspects, Social aspects of Mass media, Social groups, Conduct of life, Fiction, short stories (single author), Essays (single author), Mass media, social aspects"
The mind of the strategist,Kenʼichi Ohmae,1982,"Industrial management, Strategy, Japon, Management, Corporate planning, Japan, Gestion d'entreprise, Strategic planning, Unternehmensplanung, Stratégie, Organizacao Interna (Administracao), Industrie, Strategisch management, Business enterprises, japan, Business, Business planning, Fiction, general"
The Dark Hills divide,Patrick Carman,2005,"Forest animals, Magic, Magia, Forests and forestry, Human-animal communication, Ficcón juvenil, Fiction, Ficción juvenil, Bosques, Juvenile fiction, Animales salvajes, Large type books, Children's fiction, Vacations, fiction, Forests and forestry, fiction, Magic, fiction, Human-animal relationships, fiction, Animals, fiction"
The Ickabog,"J. K. Rowling, Stephen Fry, Clémentine Beauvais",2020,"nyt:childrens-middle-grade-hardcover=2020-11-29, New York Times bestseller, New York Times reviewed, Children's fiction, Monsters, fiction, Friendship, fiction, Fantasy fiction, Kings, queens, rulers, etc., fiction, Fear, fiction, Animals, mythical, fiction"
Dead as a doornail,Charlaine Harris,2005,"Detective and mystery stories, Vampires, Fiction, were-panther, Metamorphosis, Occult fiction, Brothers and sisters, Large type books, Fiction, occult & supernatural, Brothers and sisters, fiction, Fiction, fantasy, contemporary, Fiction, mystery & detective, women sleuths, Stackhouse, sookie (fictitious character), fiction, Vampires, fiction, Louisiana, fiction, Siblings, fiction, Fantasy, Fantasy fiction, Science fiction, Mystery fiction, nyt:mass-market-paperback=2008-10-05, New York Times bestseller, Werewolves, Telepathy, Cocktail servers, Sookie Stackhouse (Fictitious character), Fiction, romance, paranormal, general, Fiction, mystery & detective, general"
The Last Enchantment,Mary Stewart,1979,"Fiction, Merlin (Legendary character), Arthurian romances, Adaptations, Wizards, Britons, Kings and rulers, Fiction in English, Legends, Large type books, Merlin, Romances, Fiction, fantasy, historical, Merlin (legendary character), fiction, Arthur, king, fiction, Fiction, romance, historical, general, Fantasy fiction, Historical fiction, Fiction, romance, historical, Great britain, fiction, Belletristische Darstellung, Arthurian romances, adaptations"
The Sea of Adventure,Enid Blyton,1948,"Russian Art, Children's fiction, Adventure and adventurers, fiction, Brothers and sisters, Juvenile fiction, Adventure stories, Adventure and adventurers, Fiction, Kidnapping, Islands, Mystery and detective stories, Scotland, fiction, Kidnapping, fiction"
Tesori Perduti,Elisabetta Dami,2018,"Young adult fiction, Children's literature, Fiction, action & adventure"
The Snow Queen,Joan D. Vinge,1980,"Fiction in English, Life on other planets, Fiction, Hugo Award Winner, award:hugo_award=1981, award:hugo_award=novel, American Science fiction, Immortalism, Technology, Fiction, science fiction, general, Fiction, general, Life on other planets -- Fiction"
Milk Fed,Melissa Broder,2021,"New York Times reviewed, Fiction, coming of age, Fiction, humorous, Lesbians, fiction, Fiction, humorous, general, Lesbians, Fiction, Sexual minorities, Body image, Mothers and daughters, Jewish women, Lesbiennes, Romans, nouvelles, Minorités sexuelles, Image du corps, Mères et filles, Juives, FICTION / Literary, FICTION / Jewish, FICTION / Humorous / General, Humorous fiction"
A supposedly fun thing I'll never do again,David Foster Wallace,1997,"Fiction, Humor (Nonfiction), Wit and humor, American Wit and humor, Essays, American wit and humor, travel, American essays, 20th century, American wit and humor, social life and customs, Essays (single author)"
Keys to the Demon Prison,Brandon Mull,2010,"Fantasy, Fantasy Fiction, Fiction, Juvenile Fiction, Magic, Mythical Creatures, Quests (Expeditions), Antiquities, Siblings, Good and evil, Grandparents, Brothers and sisters, Quête, Romans, nouvelles, etc. pour la jeunesse, Frères et sœurs, Children's fiction, Good and evil, fiction, Siblings, fiction, Magic, fiction, Grandparents, fiction"
鍵 (Kagi),谷崎潤一郎,1956,"Fiction, Adultery, Married people, Husband and wife, Translations into English, Japanese literature, Sick, Older men, Near and far eastern fiction (fictional works by one author), Japan, fiction, Fiction, sagas, Fiction, general"
Rafaello's Mistress,Lynne Graham,2001,"Fiction, Romance, Contemporary"
White Rose of Winter,Anne Mather,1973,"Fiction, Romance, Contemporary"
A Wife in Waiting,Jessica Steele,1996,"Fiction, Romance, Contemporary"
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,2020,"Fiction, fantasy, general"
Too Strong to Deny,Emma Darcy,1990,"Fiction, Romance, Contemporary"
Mary Louise,L. Frank Baum,1916,"treason, Fiction, general"
Madama Butterfly,Giacomo Puccini,1904,"Librettos, Operas, Vocal scores with piano, Scores, Fiction, Operas, librettos, Puccini, giacomo, 1858-1924, Operas, scores, Opéras, Livrets, MUSIC, Genres & Styles, Opera, Madama Butterfly (Puccini, Giacomo), Puccini, Giacomo, 1858-1924. Madame Butterfly, Operas -- Librettos"
Treasure of Khan,"Clive Cussler, Dirk Cussler",2006,"Fiction, action & adventure, Fiction, thrillers, general, Pitt, dirk (fictitious character), fiction, Russia (federation), fiction, Mongolia, fiction, Oil industries, Dirk Pitt (Fictitious character), Oceanographers, Petroleum industry and trade, Oil industry, Fiction, Mongols, Treasure troves, Adventure fiction, Thriller, Large type books, Fiction, thrillers, Ficción, Tesoros ocultos"
